"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.09.2022","7.508,50","7.534,20","7.589,20","7.473,50","190,14M","-0,99%"
"23.09.2022","7.583,50","7.770,80","7.770,80","7.527,50","215,67M","-2,46%"
"22.09.2022","7.774,70","7.776,30","7.897,10","7.753,60","182,96M","-1,24%"
"21.09.2022","7.872,20","7.803,40","7.896,70","7.790,50","157,19M","-0,01%"
"20.09.2022","7.873,10","8.020,80","8.064,10","7.873,10","157,29M","-1,50%"
"19.09.2022","7.993,20","7.957,80","8.023,40","7.911,00","110,51M","0,11%"
"16.09.2022","7.984,70","7.994,40","8.039,20","7.962,20","329,45M","-1,25%"
"15.09.2022","8.085,50","8.051,90","8.125,40","8.024,20","229,94M","0,37%"
"14.09.2022","8.055,60","8.070,30","8.124,50","8.024,00","160,07M","-0,10%"
"13.09.2022","8.064,00","8.229,00","8.235,80","8.054,70","192,03M","-1,59%"
"12.09.2022","8.194,30","8.087,80","8.212,60","8.077,40","173,42M","2,01%"
"09.09.2022","8.033,10","7.920,50","8.063,80","7.918,60","189,94M","1,47%"
"08.09.2022","7.916,80","7.902,30","7.933,30","7.772,70","206,75M","0,78%"
"07.09.2022","7.855,90","7.791,10","7.880,20","7.784,40","147,01M","0,17%"
"06.09.2022","7.842,20","7.868,00","7.935,90","7.813,60","125,30M","-0,26%"
"05.09.2022","7.862,70","7.801,30","7.867,80","7.765,50","119,38M","-0,88%"
"02.09.2022","7.932,20","7.843,80","7.943,40","7.796,70","121,21M","1,62%"
"01.09.2022","7.806,00","7.838,80","7.849,40","7.797,00","132,47M","-1,02%"
"31.08.2022","7.886,10","7.994,80","7.996,40","7.866,60","228,02M","-1,17%"
"30.08.2022","7.979,80","8.004,50","8.105,20","7.968,60","158,86M","-0,12%"
"29.08.2022","7.989,60","7.970,90","8.005,00","7.933,40","103,31M","-0,92%"
"26.08.2022","8.063,90","8.229,70","8.239,60","8.044,10","120,27M","-1,51%"
"25.08.2022","8.187,50","8.230,00","8.263,00","8.166,30","88,85M","-0,15%"
"24.08.2022","8.199,40","8.196,90","8.224,70","8.161,80","82,59M","-0,33%"
"23.08.2022","8.226,30","8.254,90","8.272,60","8.205,50","102,24M","-0,71%"
"22.08.2022","8.284,80","8.291,60","8.300,90","8.213,60","125,08M","-0,64%"
"19.08.2022","8.338,10","8.395,00","8.408,70","8.320,90","145,36M","-1,09%"
"18.08.2022","8.430,30","8.440,70","8.470,10","8.392,60","88,54M","-0,05%"
"17.08.2022","8.434,80","8.520,20","8.540,00","8.426,50","113,54M","-0,91%"
"16.08.2022","8.511,90","8.448,70","8.527,30","8.440,40","118,72M","1,01%"
"15.08.2022","8.427,00","8.423,90","8.429,30","8.384,40","82,28M","0,32%"
"12.08.2022","8.400,40","8.383,50","8.453,00","8.371,40","118,97M","0,24%"
"11.08.2022","8.380,00","8.386,00","8.420,40","8.368,90","104,91M","0,33%"
"10.08.2022","8.352,80","8.299,60","8.367,20","8.295,90","131,02M","0,49%"
"09.08.2022","8.311,90","8.260,00","8.339,60","8.245,60","115,02M","0,48%"
"08.08.2022","8.272,50","8.220,90","8.294,40","8.193,30","118,57M","1,28%"
"05.08.2022","8.168,00","8.151,20","8.198,00","8.120,50","144,26M","0,08%"
"04.08.2022","8.161,10","8.148,00","8.214,40","8.133,90","135,70M","0,23%"
"03.08.2022","8.142,10","8.092,60","8.161,30","8.066,30","146,69M","0,56%"
"02.08.2022","8.096,90","8.060,60","8.122,50","8.049,80","154,64M","0,15%"
"01.08.2022","8.085,10","8.161,90","8.230,70","8.071,80","162,09M","-0,87%"
"29.07.2022","8.156,20","8.140,30","8.207,80","8.134,10","249,07M","0,88%"
"28.07.2022","8.084,90","8.193,70","8.196,40","7.995,40","250,67M","-0,49%"
"27.07.2022","8.124,40","8.106,50","8.149,70","8.054,20","147,90M","0,68%"
"26.07.2022","8.069,60","8.063,10","8.097,00","8.033,50","129,25M","-0,20%"
"25.07.2022","8.085,60","8.021,90","8.103,40","8.015,70","124,36M","0,42%"
"22.07.2022","8.051,60","8.009,40","8.085,30","7.999,30","181,05M","0,49%"
"21.07.2022","8.012,70","7.981,60","8.105,70","7.970,30","218,62M","-0,20%"
"20.07.2022","8.028,90","8.156,80","8.173,30","7.989,60","176,08M","-1,18%"
"19.07.2022","8.125,10","7.920,40","8.161,20","7.912,70","201,69M","2,03%"
